feature,kind,cardinality,description,fulldisplayname
perchostil_unadj,social,reg,"This self-report measure assesses perceptions of hostility in daily social interactions (e.g., how often people argue with me, yell at me, or criticize me) using an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of greater perceived hostility. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of perceived hostility and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of perceived hostility. ",NIH Toolbox Perceived Hostility Survey: Unadjusted Scale Score
percreject_unadj,social,reg,"This self-report measure assesses perceptions of rejection in daily social interactions (e.g., how often people don’t listen when I ask for help, or do not pay attention to me) using an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of greater perceived rejection. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of perceived rejection and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of perceived rejection. ",NIH Toolbox Perceived Rejection Survey: Unadjusted Scale Score
percstress_unadj,psych,reg,"This is a self-report measure administered to ages 13-85 in CAT form that accesses how unpredictable, uncontrollable and overloadedrespondents find their lives. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more perceived stress. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of perceived stress and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of perceived stress.",NIH Toolbox Perceived Stress Survey: Unadjusted Scale Score
picseq_ageadj,cognition,reg,"The Picture Sequence Memory Test is an assessment of episodic memory for ages 3-85 years which involves the acquisition, storage and effortful recall of new information. It is considered a strong 'fluid ability' measure, with performance reaching a peak in early adulthood and declining across the life span. It involves recalling increasingly lengthy series of illustrated objects and activities that are presented in a particular order on the computer screen. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. ",NIH Toolbox Picture Sequence Memory Test: Age-Adjusted Scale Score
picseq_unadj,cognition,reg,"The Picture Sequence Memory Test is an assessment of episodic memory for ages 3-85 years which involves the acquisition, storage and effortful recall of new information. It is considered a strong 'fluid ability' measure, with performance reaching a peak in early adulthood and declining across the life span. It involves recalling increasingly lengthy series of illustrated objects and activities that are presented in a particular order on the computer screen. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average.",NIH Toolbox Picture Sequence Memory Test: Unadjusted Scale Score
picvocab_ageadj,cognition,reg,"The Picture Vocabulary Test is a CAT format measure of general vocabulary knowledge for ages 3-85 and is considered to be a strong measure of crystallized abilities (those abilities that are more dependent upon past learning experiences and are consistent across the lifespan). The participant is presented with an audio recording of a word and four photographic images on the computer screen and is asked to select the picture that most closely matches the meaning of the word. Higher scores indicate higher vocabulary ability. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. ",NIH Toolbox Picture Vocabulary Test: Age-Adjusted Scale Score
picvocab_unadj,cognition,reg,"The Picture Vocabulary Test is a CAT format measure of general vocabulary knowledge for ages 3-85 and is considered to be a strong measure of crystallized abilities (those abilities that are more dependent upon past learning experiences and are consistent across the lifespan). The participant is presented with an audio recording of a word and four photographic images on the computer screen and is asked to select the picture that most closely matches the meaning of the word. Higher scores indicate higher vocabulary ability. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. ",NIH Toolbox Picture Vocabulary Test: Unadjusted Scale Score
pmat24_a_cr,cognition,reg,"Penn Matrix Test (PMAT): Number of Correct Responses. The PMAT measures fluid intelligence via non-verbal reasoning using an abbreviated version of the Raven's Progressive Matrices Form A developed by Gur and colleagues (Bilker et al. 2012).  Participants are presented with patterns made up of 2x2, 3x3 or 1x5 arrangements of squares, with one of the squares missing.  The participant must pick one of five response choices that best fits the missing square on the pattern.  The task has 24 items and 3 bonus items, arranged in order of increasing difficulty.  However, the task discontinues if the participant makes 5 incorrect responses in a row.",Penn Progressive Matrices: Number of Correct Responses (PMAT24_A_CR)
pmat24_a_rtcr,timing,reg,"Penn Matrix Test (PMAT): Median Reaction Time (RT) for Correct Responses. The RT measure can be combined with the Correct Responses measure to gauge PMAT efficiency. The PMAT measures fluid intelligence via non-verbal reasoning using an abbreviated version of the Raven's Progressive Matrices Form A developed by Gur and colleagues (Bilker et al. 2012).  Participants are presented with patterns made up of 2x2, 3x3 or 1x5 arrangements of squares, with one of the squares missing.  The participant must pick one of five response choices that best fits the missing square on the pattern.  The task has 24 items and 3 bonus items, arranged in order of increasing difficulty.  However, the task discontinues if the participant makes 5 incorrect responses in a row.",Penn Progressive Matrices: Median Reaction Time for Correct Responses (PMAT24_A_RTCR)
pmat24_a_si,cognition,reg,"Penn Matrix Test (PMAT): Total Skipped Items (items not presented because maximum errors allowed reached [5 in a row]). The PMAT measures fluid intelligence via non-verbal reasoning using an abbreviated version of the Raven's Progressive Matrices Form A developed by Gur and colleagues (Bilker et al. 2012).  Participants are presented with patterns made up of 2x2, 3x3 or 1x5 arrangements of squares, with one of the squares missing.  The participant must pick one of five response choices that best fits the missing square on the pattern.  The task has 24 items and 3 bonus items, arranged in order of increasing difficulty.  However, the task discontinues if the participant makes 5 incorrect responses in a row.",Penn Progressive Matrices: Total Skipped Items (PMAT24_A_SI)
pmat_compl,book_keeping,bin,Fluid Intelligence (Penn Progressive Matrices) was completed (True or False),Penn Matrix Test (PMAT) Completed
posaffect_unadj,emotion,reg,"This self-report measure assesses both activated (i.e., happiness, joy) as well as unactivated (i.e., serenity, peace) aspects of positive affect in CAT form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more positive affect. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of positive affect and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of positive affect.",NIH Toolbox Positive Affect Survey: Unadjusted Scale Score
procspeed_ageadj,cognition,reg,"The Pattern Comparison Processing Test is a measure of speed of processing, which is considered a 'fluid ability' because it steadily improves (time to complete task decreases) throughout childhood and adolescence, then begins to decline in adulthood. This test for ages 7-85 asks participants to discern whether two side-by-side pictures are the same or not. The items are designed to be simple to most purely measure processing speed. Age-Adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. ",NIH Toolbox Pattern Comparison Processing Speed Test: Age-Adjusted Scale Score
procspeed_unadj,cognition,reg,"The Pattern Comparison Processing Test is a measure of speed of processing, which is considered a 'fluid ability' because it steadily improves (time to complete task decreases) throughout childhood and adolescence, then begins to decline in adulthood. This test for ages 7-85 asks participants to discern whether two side-by-side pictures are the same or not. The items are designed to be simple to most purely measure processing speed. Higher scores indicate faster speed of processing. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. ",NIH Toolbox Pattern Comparison Processing Speed Test: Unadjusted Scale Score
psqi_amtsleep,sub_scale,reg,"PSQI 4. During the past month, how many hours of actual sleep did you get at night? (This may be different than the number of hours you spend in bed.)",4. Hours of sleep per night (past month)
psqi_baddream,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (h) Had bad dreams; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5h. Sleep Trouble - Had bad dreams
psqi_bathroom,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (c) Have to get up to use the bathroom; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5c. Sleep Trouble - Get up to use bathroom
psqi_bedptnrrmate,sub_scale,cat,"PSQI 10.Do you have a bed partner or roommate?  0=No bed partner or roomate, 1=Partner/roomate in other room, 2=Partner in same room, but not same bed, 3=Partner in same bed",10. Have bed partner or roommate
psqi_bedtime,sub_scale,reg,"PSQI 1. During the past month, when have you usually gone to bed at night?  Time in 24h:00min.",1. Usual bed time (past month)
psqi_breathe,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (d) Cannot breathe comfortably; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5d. Sleep Trouble - Can't breathe comfortably
psqi_comp1,physio,reg,"The Pittsburgh Sleep Quality Index (PSQI) Component 1 (Subjective sleep quality) score (Buysse et al., 1989).",Sleep (Pittsburgh Sleep Questionnaire) Component 1 Score
psqi_comp2,physio,reg,"The Pittsburgh Sleep Quality Index (PSQI) Component 2 (Sleep latency) score (Buysse et al., 1989).",Sleep (Pittsburgh Sleep Questionnaire) Component 2 Score
psqi_comp3,physio,reg,"The Pittsburgh Sleep Quality Index (PSQI) Component 3 (Subjective sleep quality) score (Buysse et al., 1989).",Sleep (Pittsburgh Sleep Questionnaire) Component 3 Score
psqi_comp4,physio,reg,"The Pittsburgh Sleep Quality Index (PSQI) Component 4 (Sleep duration) score (Buysse et al., 1989).",Sleep (Pittsburgh Sleep Questionnaire) Component 4 Score
psqi_comp5,physio,reg,"The Pittsburgh Sleep Quality Index (PSQI) Component 5 (Sleep disturbance) score (Buysse et al., 1989).",Sleep (Pittsburgh Sleep Questionnaire) Component 5 Score
psqi_comp6,physio,reg,"The Pittsburgh Sleep Quality Index (PSQI) Component 6 (Use of sleep meds) score (Buysse et al., 1989).",Sleep (Pittsburgh Sleep Questionnaire) Component 6 Score
psqi_comp7,physio,reg,"The Pittsburgh Sleep Quality Index (PSQI) Component 7 (Daytime dysfunction) score (Buysse et al., 1989).",Sleep (Pittsburgh Sleep Questionnaire) Component 7 Score
psqi_compl,book_keeping,bin,Pittsburgh Sleep Quality Index (PSQI) was completed (True or False),Pittsburgh Sleep Quality Index (PSQI) Completed
psqi_dayenthusiasm,sub_scale,ord,"PSQI 9.During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?  0=No problem at all, 1=Only a very slight problem, 2=Somewhat of a problem, 3=A very big problem",9. How often trouble keeping up enthusiasm
psqi_daystayawake,sub_scale,ord,"PSQI 8.During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?  0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",8. How often trouble staying awake
psqi_getuptime,sub_scale,reg,"PSQI 3. During the past month, when have you usually gotten up in the morning? Time in 24h:00min.",3. Time get up in morning (past month)
psqi_latency30min,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (a) Cannot get to sleep within 30 minutes; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5a. Sleep Trouble - Can't get to sleep within 30 minutes
psqi_min2asleep,sub_scale,reg,"PSQI 2. During the past month, how long has it usually taken you to fall asleep each night (# of minutes).",2. Minutes to fall asleep (past month)
psqi_other,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because of...  (j) Other reason(s), as described in 5j. pt2 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5j. Sleep Trouble - Other
psqi_pain,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (i) Have pain; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5i. Sleep Trouble - Have pain
psqi_quality,sub_scale,ord,"PSQI 6.During the past month, how would you rate your sleep quality overall?  0=Very good, 1=Fairly good, 2=Fairly bad, 3=Very bad",6. Describe overall sleep quality
psqi_score,physio,reg,"The total score across all items on the Pittsburgh Sleep Quality Index (PSQI) (Buysse et al., 1989).",Sleep (Pittsburgh Sleep Questionnaire) Total Score
psqi_sleepmeds,sub_scale,ord,"PSQI 7.During the past month, how often have you taken medicine (prescribed or \""over the counter\"") to help you sleep?  0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",7. How often taken sleep medicine
psqi_snore,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (e) Cough or snore loudly; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5e. Sleep Trouble - Cough or snore loudly
psqi_toocold,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (f) Feel too cold; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5f. Sleep Trouble - Feel too cold
psqi_toohot,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (g) Feel too hot; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5g. Sleep Trouble - Feel too hot
psqi_wakeup,sub_scale,ord,"PSQI 5.During the past month, how often have you had trouble sleeping because you...  (b) Wake up in the middle of the night or early morning; 0=Not during the past month, 1=Less than once a week, 2=Once or twice a week, 3=3 or more times a week",5b. Sleep Trouble - Wake up in middle of night or early morning
qc_issue,book_keeping,cat,"Subjects with notable issues (coded A-E) found in the HCP Quality Control process. For more information, see the <a href=\https://wiki.humanconnectome.org/x/14dMBQ\"">QC Issues wiki</a>:  A= Focal anatomical anomaly (e.g. calcification, cavernoma, cyst, etc.) found in T1w and/or T2w scans in a restricted brain region; B= Focal segmentation or surface   error(s) in outputs from the HCP Structural pipeline; C= Subject data collected during period of known intermittent problems with head coil leading to temporal instability in acquisitions; D= One or more rfMRI scans contained significant coil- or movement-related artifact which manifests prominently in the \""minimally preprocessed\"" data. FIX cleaned data has been confirmed to be reasonable for all these scans; E= Manual reclassification of some of the FIX-ICA components from 'signal' to 'noise' was necessary to appropriately remove artifact from the FIX-denoised rfMRI scans.",Coded QC Issue
readeng_ageadj,cognition,reg,"The Reading Test is a CAT format measure of reading decoding skill and of crystallized abilities, those abilities that are generally more dependent upon past learning experiences and consistent across the life span for ages 7-85. The participant is asked to read and pronounce letters and words as accurately as possible. Higher scores indicate better reading ability. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band. ",NIH Toolbox Oral Reading Recognition Test: Age-Adjusted Scale Score
readeng_unadj,cognition,reg,"The Reading Test is a CAT format measure of reading decoding skill and of crystallized abilities, those abilities that are generally more dependent upon past learning experiences and consistent across the life span for ages 7-85. The participant is asked to read and pronounce letters and words as accurately as possible. Higher scores indicate better reading ability. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average.",NIH Toolbox Oral Reading Recognition Test: Unadjusted Scale Score
relational_task_acc,cognition,reg,Average accuracy Percentage during RELATIONAL task,Relational Task OVERALL accuracy
relational_task_match_acc,cognition,reg,Accuracy Percentage during MATCH blocks in RELATIONAL task,Relational Task MATCH accuracy
relational_task_match_median_rt,timing,reg,Median Reaction Time for correct trials during MATCH blocks in RELATIONAL task,Relational Task MATCH median Reaction Time
relational_task_median_rt,timing,reg,Average of median Reaction Times from each condition in RELATIONAL task,Relational Task OVERALL Reaction Time
relational_task_rel_acc,cognition,reg,Accuracy Percentage during RELATIONAL blocks in RELATIONAL task,Relational Task RELATIONAL block (REL) accuracy
relational_task_rel_median_rt,timing,reg,Median Reaction Time for correct trials during RELATIONAL blocks in RELATIONAL task,Relational Task RELATIONAL block (REL) median Reaction Time
release,book_keeping,id,HCP data release in which this subject's data was initially published to ConnectomeDB.   Note: 'Release' does not indicate the version of the pipelines used to process subject data. Check the release-notes distributed with each processed dataset for pipeline version information.,Quarter Released
sadness_unadj,emotion,reg,"This self-report measure assesses sadness for ages 18-85 using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more sadness. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of sadness and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of sadness.",NIH Toolbox Sadness Survey: Unadjusted Scale Score
scpt_compl,book_keeping,bin,Short Penn Continuous Performance Test (SCPT) (Sustained Attention) was completed (True or False),Short Penn Continuous Performance Test (SCPT) Completed
scpt_fn,cognition,reg,Short Penn CPT False Negatives = Sum of CPN_FN and CPL_FN,Short Penn Continuous Performance Test: False Negatives = Sum of CPN_FN and CPL_FN (SCPT_FN)
scpt_fp,cognition,reg,Short Penn CPT False Positives = Sum of CPN_FP and CPL_FP,Short Penn Continuous Performance Test: False Positives = Sum of CPN_FP and CPL_FP (SCPT_FP)
scpt_lrnr,cognition,reg,Short Penn CPT Longest Run of Non-Responses),Short Penn Continuous Performance Test: Longest Run of Non-Responses (SCPT_LRNR)
scpt_sen,cognition,reg,Short Penn CPT Sensitivity = SCPT_TP/(SCPT_TP + SCPT_FN),Short Penn Continuous Performance Test: Sensitivity = SCPT_TP/(SCPT_TP + SCPT_FN) (SCPT_SEN)
scpt_spec,cognition,reg,Short Penn CPT Specificity = SCPT_TN/(SCPT_TN + SCPT_FP),Short Penn Continuous Performance Test: Specificity = SCPT_TN/(SCPT_TN + SCPT_FP) (SCPT_SPEC)
scpt_tn,cognition,reg,Short Penn CPT True Negatives = Sum of CPN_TN and CPL_TPN,Short Penn Continuous Performance Test: True Negatives = Sum of CPN_TN and CPL_TPN (SCPT_TN)
scpt_tp,cognition,reg,Short Penn CPT True Positives = Sum of CPN_TP and CPL_TP,Short Penn Continuous Performance Test: True Positives = Sum of CPN_TP and CPL_TP (SCPT_TP)
scpt_tprt,timing,reg,Short Penn CPT Median Response Time for True Positive Responses,Short Penn Continuous Performance Test: Median Response Time for True Positive Responses (SCPT_TPRT)
selfeff_unadj,psych,reg,"This is a self-report measure administered to ages 8-85 in CAT form. It assesses respondents' sense of global self-efficacy (a person’s belief in his/her capacity to manage functioning and have control over meaningful events). The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more general self-efficacy. Scores 1 SD or more below the mean (T ≤ 40) suggest low levels of general self-efficacy and scores 1 SD or more above the mean (T ≥ 60) suggest high levels of general self-efficacy.",NIH Toolbox Self-Efficacy Survey: Unadjusted Scale Score
social_task_median_rt_random,timing,reg,Average of Median Reaction Times from stimuli that the subject rated as 'random' in SOCIAL task,Social Task Overall Reaction Time 'Random'
social_task_median_rt_tom,timing,reg,Average of Median Reaction Times from stimuli that received a 'social' (theory of mind) rating in SOCIAL task,Social Task Overall Reaction Time 'TOM'
social_task_median_rt_unsure,timing,reg,Average of Median Reaction Times from stimuli that received an 'unsure' rating in SOCIAL task,Social Task Overall Reaction Time 'Unsure'
social_task_perc_nlr,cognition,reg,Overall Percentage of stimuli with no response logged in SOCIAL task,Social Task Overall Percentage No Logged Response
social_task_perc_random,cognition,reg,Overall Percentage of stimuli that the subject rated as 'random' in SOCIAL task,Social Task Overall Percentage 'Random'
social_task_perc_tom,cognition,reg,Overall Percentage of stimuli that received a 'social' (theory of mind) rating in SOCIAL task,Social Task Overall Percentage 'TOM'
social_task_perc_unsure,cognition,reg,Overall Percentage of stimuli that received a 'unsure' rating in SOCIAL task,Social Task Overall Percentage 'Unsure'
social_task_random_median_rt_random,timing,reg,Median Reaction Time for Random stimuli that the subject rated as 'random' in SOCIAL task,Social Task Median Reaction Time 'Random' in Random condition
social_task_random_median_rt_tom,timing,reg,Median Reaction Time for Random stimuli that received a 'social' (theory of mind) rating in SOCIAL task,Social Task Median Reaction Time 'TOM' in Random condition
social_task_random_median_rt_unsure,timing,reg,Median Reaction Time for Random stimuli that received a 'unsure' rating in SOCIAL task,Social Task Median Reaction Time 'Unsure' in Random condition
social_task_random_perc_nlr,cognition,reg,Percentage of Random stimuli with no response logged in SOCIAL task,Social Task Percentage No Logged Response in Random condition
social_task_random_perc_random,cognition,reg,Percentage of Random stimuli that the subject rated as 'random' in SOCIAL task,Social Task Percentage 'Random' in Random condition
social_task_random_perc_tom,cognition,reg,Percentage of stimuli that received a 'social' (theory of mind) rating in SOCIAL task,Social Task Percentage 'TOM' in Random condition
social_task_random_perc_unsure,cognition,reg,Percentage of Random stimuli that received a 'unsure' rating in SOCIAL task,Social Task Percentage 'Unsure' in Random condition
social_task_tom_median_rt_random,timing,reg,Median Reaction Time for Social (TOM) stimuli that the subject rated as 'random' in SOCIAL task,Social Task Median Reaction Time 'Random' in Social (TOM) condition
social_task_tom_median_rt_tom,timing,reg,Median Reaction Time for Social (TOM) stimuli that received a 'social' rating in SOCIAL task,Social Task Median Reaction Time 'TOM' in Social (TOM) condition
social_task_tom_median_rt_unsure,timing,reg,Median Reaction Time for Social (TOM) stimuli that received a 'unsure' rating in SOCIAL task,Social Task Median Reaction Time 'Unsure' in Social (TOM) condition
social_task_tom_perc_nlr,cognition,reg,Percentage of Social (TOM) stimuli with no response logged in SOCIAL task,Social Task Percentage No Logged Response in Social (TOM) condition
social_task_tom_perc_random,cognition,reg,Percentage of Social (TOM) stimuli that the subject rated as 'random' in SOCIAL task,Social Task Percentage 'Random' in Social (TOM) condition
social_task_tom_perc_tom,cognition,reg,Percentage of Social (TOM) stimuli that received a 'social' rating in SOCIAL task,Social Task Percentage 'TOM' in Social (TOM) condition
social_task_tom_perc_unsure,cognition,reg,Percentage of Social (TOM) stimuli that received a 'unsure' rating in SOCIAL task,Social Task Percentage 'Unsure' in Social (TOM) condition
ssaga_alc_compl,book_keeping,bin,SSAGA Alcohol Use and Dependence data was completed (True or False),SSAGA Alcohol Use and Dependence Completed
ssaga_compl,book_keeping,bin,SSAGA behavioral battery was completed (True or False),Full SSAGA Battery Completed
ssaga_demo_compl,book_keeping,bin,SSAGA Health and Demographic data was completed (True or False),SSAGA Demographics Completed
ssaga_illicit_compl,book_keeping,bin,SSAGA Illicit Drug Use and Dependence data was completed (True or False),SSAGA Illicit Drug Use and Dependence Completed
ssaga_mental_compl,book_keeping,bin,SSAGA Mental Health data was completed (True or False),SSAGA Mental Health Completed
ssaga_mj_compl,book_keeping,bin,SSAGA Marijuana Use and Dependence data was completed (True or False),SSAGA Marijuana Use and Dependence Completed
ssaga_tob_compl,book_keeping,bin,SSAGA Tobacco Use and Dependence data was completed (True or False),SSAGA Tobacco Use and Dependence Completed
strength_ageadj,physio,reg,"Grip strength for each hand is measured with the participant seated in a chair with their feet touching the ground. With the elbow bent to 90 degrees and the arm against the trunk, wrist at neutral, participants squeeze the Jamar Plus Digital dynamometer as hard as they can for a count of three. The dynamometer provides a digital reading of force in pounds.  each hand. The Grip Strength Test provides a raw score for each hand (raw scores available on request to info@humanconnectome.org), with the scale scores representing the relative force the participant was able to generate using his/her dominant hand. Age-adjusted Scale Score: Participant raw score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox Grip Strength Test: Age-Adjusted-Adjusted Scale Score
strength_unadj,physio,reg,"Grip strength for each hand is measured with the participant seated in a chair with their feet touching the ground. With the elbow bent to 90 degrees and the arm against the trunk, wrist at neutral, participants squeeze the Jamar Plus Digital dynamometer as hard as they can for a count of three. The dynamometer provides a digital reading of force in pounds.  each hand. The Grip Strength Test provides a raw score for each hand (raw scores available on request to info@humanconnectome.org), with the scale scores representing the relative force the participant was able to generate using his/her dominant hand. Unadjusted Scale Score: Participant raw score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. ",NIH Toolbox Grip Strength Test: Unadjusted Scale Score
t1_count,book_keeping,ord,Number of T1 scans collected,T1 Scan Count
t2_count,book_keeping,ord,Number of T2 scans collected,T2 Scan Count
taste_ageadj,physio,reg,"This test measures the perceived intensity of quinine (a bitter tastant) and salt administered in liquid solutions swished around in the whole mouth or applied to the tip of the tongue. Participants rate the taste on a generalized labeled magnitude scale (gLMS) of perceived intensity, with seven anchor labels provided (Strongest imaginable, Very strong, Strong, Moderate, Weak, Barely detectable, No sensation) on a 0-100 scale, which is then converted to a normative scale. Whole mouth quinine normative scale scores are provided where higher performance is indicative of higher perceived taste intensity. Age-adjusted Scale Score: Participant raw score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band.",NIH Toolbox Regional Taste Intensity Age 12+ Age-Adjusted Scale Score
taste_unadj,physio,reg,"This test measures the perceived intensity of quinine (a bitter tastant) and salt administered in liquid solutions swished around in the whole mouth or applied to the tip of the tongue. Participants rate the taste on a generalized labeled magnitude scale (gLMS) of perceived intensity, with seven anchor labels provided (Strongest imaginable, Very strong, Strong, Moderate, Weak, Barely detectable, No sensation) on a 0-100 scale, which is then converted to a normative scale. Whole mouth quinine normative scale scores are provided where higher performance is indicative of higher perceived taste intensity.  Unadjusted Scale Score: Participant raw score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. ",NIH Toolbox Regional Taste Intensity Age 12+ Unadjusted Scale Score
toolbox_compl,book_keeping,bin,Full NIH Toolbox behavioral battery was completed (True or False),Full NIH Toolbox Battery Completed
visproc_compl,book_keeping,bin,Mars Contrast Sensitivity Test (Visual Processing) was completed (True or False),Visual Processing Completed
vsplot_compl,book_keeping,bin,Spatial Orientation (Variable Short Penn Line Orientation Test) was completed (True or False),Variable Short Penn Line Orientation Test (VSPLOT) Completed
vsplot_crte,timing,reg,Penn Line Orientation: Median Reaction Time Divided by Expected Number of Clicks for Correct Trials,Variable Short Penn Line Orientation: Median Reaction Time Divided by Expected Number of Clicks for Correct (VSPLOT_CRTE)
vsplot_off,cognition,reg,Penn Line Orientation:  Total Positions Off for All Trials,Variable Short Penn Line Orientation: Total Positions Off for All Trials (VSPLOT_OFF)
vsplot_tc,cognition,reg,Penn Line Orientation: Total Number Correct,Variable Short Penn Line Orientation: Total Number Correct (VSPLOT_TC)
wm_task_0bk_acc,cognition,reg,Accuracy across all conditions in 0-back,Working Memory Task Accuracy for 0-back
wm_task_0bk_body_acc,cognition,reg,Accuracy across all trials in 0-back body condition,Working Memory Task Accuracy for 0-back Body
wm_task_0bk_body_acc_nontarget,cognition,reg,Accuracy across nontarget trials in 0-back body condition,Working Memory Task Accuracy for 0-back Body Nontargets
wm_task_0bk_body_acc_target,cognition,reg,Accuracy across target trials in 0-back body condition,Working Memory Task Accuracy for 0-back Body Targets
wm_task_0bk_body_median_rt,timing,reg,Median Reaction Time across all correct trials in 0-back body condition,Working Memory Task Median Reaction Time for 0-back Body
wm_task_0bk_body_median_rt_nontarget,timing,reg,Median Reaction Time across correct nontarget trials in 0-back body condition,Working Memory Task Median Reaction Time for 0-back Body Nontargets
wm_task_0bk_body_median_rt_target,timing,reg,Median Reaction Time across correct target trials in 0-back body condition,Working Memory Task Median Reaction Time for 0-back Body Targets
wm_task_0bk_face_acc,cognition,reg,Accuracy across all trials in 0-back face condition,Working Memory Task Accuracy for 0-back Face
wm_task_0bk_face_acc_nontarget,cognition,reg,Accuracy across nontarget trials in 0-back face condition,Working Memory Task Accuracy for 0-back Face Nontargets
wm_task_0bk_face_acc_target,cognition,reg,Accuracy across target trials in 0-back face condition,Working Memory Task Accuracy for 0-back Face Targets
